"id","titulo","precio","dueno","tipoAviso","region","comuna","telefono","telefonoLink","fechaPublicacion","codigo","descripcion"
11,"DEPARTAMENTO Departamento cercano a Estaciý…","$ 50.000.000","Corretajes Prosal Ltda","Aviso profesional","Regiýn Metropolitana, Santiago","Santiago","+(56) 226337160
","https://www.yapo.cl/pg/0vs322I4G2ycuzimJe4Rb1Vr1OFiWzZK5mUwVcw8Y7Q==.gif","13 Agosto 18:24","71004145","- Departamento en 4ý Piso- Aldunate 1064 Dp 41-B, Santiago.- Edificio Jardines del Pque. O'Higgins - A pasos Estaciýn metro Pque O'Higgins- Gasto comýn : $65.000.- aprox.- Orientaciýn : Poniente- Piso : flotante- Living - Comedor- Cocina americana- 1 Dormitorio- 1 Closet- 1 BaýoEspacios comunes :- Lavanderýa - Quincho- Sala de Eventos- Gimnasio - Piscina- Plaza- Ascensor (2)- Conserjerýa y vigilancia- Rol de la Propiedad : 2887-115- Cercano a movilizaciýn, supermercado, colegio,ýreas verdes, y metro- Referencia de direcciýn : Av. Matta con NatanielCox- RECIBIMOS SU PROPIEDAD  VEHýCULO EN PARTE DEPAGO- COMISIýN DE CORRETAJE : 2,5 % + IVA- Ejecutivos de Ventas:Carola Riquelme cel. +569 9630 4086Javier Valenzuela cel. +569 9738 2871Cynthia Rojas cel. +569 3386 5360"
12,"Av. Las Condes / Charles Hamilton","$ 380.000","Cobo Propiedades","Aviso profesional","Regiýn Metropolitana, Las Condes","Las Condes","+(56) 979683196
","https://www.yapo.cl/pg/0w1Q6/h68myrxOx4FwSLM/QYgaHRPysGTOA2SPbU9Yg==.gif","13 Agosto 18:24","73768484","ARRIENDOEstupendo departamento en 8ý piso. Living consalida a agradable terraza, cocina americana conencimera a gas y horno elýctrico.Un dormitorio, un baýo. Estacionamiento y bodega.Gasto comýn $80.000 aprox.DISPONIBLE DESDE SEPTIEMBRE."
13,"OFICINA Ricardo Matte Perez con Seminario P…","UF 165,00","Cumbre Real Gestiýn Inmobiliaria","Aviso profesional","Regiýn Metropolitana, Providencia","Providencia","+(56) 959569170
","https://www.yapo.cl/pg/0cEoNAkAitIoCDkfT1e9nwMTcujYR22VN16RucuhhFA==.gif","13 Agosto 18:21","73768434","OFICINA DISPONIBLE EN ARRIENDO.Amplia casa de 2 pisos con patente comercial enexcelente ubicaciýn en Providencia, cercana ametro Baquedano y Parque Bustamante, a pasos decalle Seminario.Excelente conectividad, muy accesible para tusclientes y colaboradores. Cercano a comercio engeneral y calles principales como Seminario,Rancagua.Cuenta con 16 privados y 4 baýos, distribuidos dela siguiente manera:1era planta: 6 privados y 2 baýos2da planta: 10 privados y 2 baýos.Adicionalmente cuenta con terraza, ventana conprotecciones, sistema de alarmas yestacionamientos.La infraestructura del inmueble estý en muy buenestado de conservaciýn, con amplos detalles enmadera natural como las escaleras y piso flotante.Ideal para giros comerciales, tales cýmo: Oficinasde isapres, Caja de compensaciýn, Institutosprofesional, Centro mýdico, Oficinas de recursoshumanos entre otros.Todas tus consultas al 9 8157 6136"
14,"Casa Con Departamento","$ 70.000.000","Gloria Guerra","Aviso personal","Regiýn Metropolitana, El Bosque","El Bosque","+(56) 998797482
","https://www.yapo.cl/pg/0VUfqvk9Nz+x0ODkCs9MGp5i2+o+QklyGctiHt0Zt2g==.gif","13 Agosto 18:21","73768431","Vendo Casa la cual tiene en el mismo terreno undepartamento.La Casa: Solida, 2 dormitorios, un baýo, livingcomedor y cocina.Departamento: Solida, dos piso, el piso de arribatiene un dormitorio Matrimonial y dos dormitoriosindividuales, un baýo. Primer piso tiene living,comedor, Cocina, pieza matrimonial y baýos. atrastiene una galeria con comedor diario, parrilla yun pequeýo patio.ante jardin con covertizo, ceramica, cabe un auto"
15,"Departamento penthouse en la mejor ubicaciý…","UF 16.740,00","Cumbre Real Gestiýn Inmobiliaria","Aviso profesional","Regiýn Metropolitana, Las Condes","Las Condes","+(56) 959569170
","https://www.yapo.cl/pg/0MNmdb1UXx5oxVf/PXJWOUQmf3yWCvRDHu8N1XYdEbg==.gif","13 Agosto 18:20","73768400","PENTHOUSE EN LA MEJOR UBICACIýN DE LAS CONDES.En una inmejorable ubicaciýn y conecciýn a callesprincipales como Avenida Kennedy, cercano aCentros Comerciales, Mall, Universidades, Colegiosy Parques.Todo lo que necesitas para llevar una vidatranquila en un sector seguro y residencial.El edificio cuenta con 2 departamentos por piso,con vista oriente y ascensor privado al hall deacceso de la propiedad, cuenta con living ycomedor totalmente independientes y con entradadirecta a la cocina. Los espacios como hall deacceso, dormitorios, cocina, pieza de servicio, seencuentran ampliamente separados, dos de losdormitorios tienen baýo en suite, el principalcuenta con variados closet y jacuzzi.El tipo de calefacciýn es por calefacciýn centraly losa radiante, que es totalmente independienteal edificio, permitiendo una mayor independencia.El edificio cuenta con seguridad 24/7, amplio ymoderno Gimnasio, Sala de eventos, Sauna yPiscina, 3 Estacionamientos y 1 Bodega.Contacto : Valesca Reyes"
16,"Depto. 1D/1B + 1E Metro Los Hýroes","$ 290.000","Invierte Propiedades","Aviso profesional","Regiýn Metropolitana, Santiago","Santiago","+(56) 995895815
","https://www.yapo.cl/pg/0eD8nhLiiTg+a566NZLw5xp046uLzWWdkgp1fUFTSGQ==.gif","13 Agosto 18:19","71170950","Departamento en arriendo cerca de la estaciýn demetro Los Heroes (L1)GRAN OFERTA POR 4 MESES $290.000 Y DESPUES VALORREAL DE $330.000.-Caracterýsticas:- 1 dormitorios.- 1 baýo.- Superficie: 28 m2- Estacionamiento subterrýneo.- Orientaciýn Poniente.- Piso 7.*Gastos comunes: $45.000 aproxExcelente ubicaciýn y conectividad: Cercano aestaciýn de metro Santa Ana y Los Hýroes (L1),paraderos, centros educativos, lugares derecreaciýn, bancos, hospitales, centroscomerciales y comercio en general.Hermoso, amplio y comodo departamento 1dormitorio, 1 baýo, Estacionamiento. Cercano ametro Moneda  los Hýroes- Departamento en piso 7- Living comedor - Piso flotante- 1 Dormitorio (con ventanales)- 1 baýo (dormitorio principal)- Cocina a gas- Disponibilidad InmediataExcelente ubicaciýn y conectividad: cercano afarmacias, bancos, supermercados, hospitales ycomercio en general. A pasos de estaciýn de metroMoneda y Los Hýroes.Gastos comunes: Aprýx 45.000Marisol Marýn Moreno Ejecutivo Inmobiliario -Invierte PropiedadesCel: +56 9 34267540:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:-:Contacto, Reservas y Mýs Informaciýn:Invierte Propiedades Cýdigo: 1459Nombre del Ejecutivo: Marisol Leonor MarinTelefono Ejecutivo: +56934267540"
17,"DEPARTAMENTO Alc. Pedro Alarcýn con Gran Av…","UF 2.800,00","Cumbre Real Gestiýn Inmobiliaria","Aviso profesional","Regiýn Metropolitana, San Miguel","San Miguel","+(56) 959569170
","https://www.yapo.cl/pg/0msSwMYPr32PO2I7GwFMw3KSkmt+4i7Arp3K0viDLCQ==.gif","13 Agosto 18:18","73768347","CUMBRE REAL VENDE, lindo, acogedor y modernodepartamento, con muy poco uso, a pasos de la GranAvenida, cercano a metro San Miguel.Cuenta con 3 dormitorios y 1 baýo, terraza, cocinaindependiente con logia completamente amobladaposee calefont ionizado automýtico.Living - comedor de muy buen tamaýo.Finas terminaciones, piso flotante en dormitorios,cerýmico en living-comedor, pasillos, terraza,baýo y cocina.Condominio full equipado, con ýreas verdes,piscina y sector para niýos. Accesos controladoslas 24 horas.Comercio, colegios, supermercado Jumbo, locomociýny metro L2 en las cercanýas.!Gran oportunidad de inversiýn o para disfrutaruna nueva vida!Contacto 9 8157 6136"
18,"CASA Prýncipe de Gales / Salvador Izquierdo…","UF 15.150,00","Cumbre Real Gestiýn Inmobiliaria","Aviso profesional","Regiýn Metropolitana, La Reina","La Reina","+(56) 959569170
","https://www.yapo.cl/pg/0dHlY37QtMpSxfpqwcbqldw/MYClAgEwh4qS/e+sSnA==.gif","13 Agosto 18:17","73768340","VIDA EN FAMILIA, VIDA DE BARRIO, TRANQUILIDAD, ..TODAS LAS RESPUESTAS EN ESTA CASA PARA TODA LAVIDA EN LA REINACumbre Real presenta El Hogar perfecto...., unacasa ideal para vivir tranquilo en familia ydisfrutar de cada momento, con amplios espacios yrincones especiales en cada parte, con ampliosespacios pensando en su confort y comodidad. Estaamplia propiedad, es ideal para familia con hijosen el THE GRANGE, ANDREE SCHOOL y SAINT JOHN'SVILLA ACADEMY, ya que se encuentra en unaestratýgica ubicaciýn en la comuna de La Reina quepermite fýcil acceso caminando a estos 3 colegios.Una Acogedora propiedad de espacios amplios,confortables con estupenda luz natural y jardines,a tan sýlo 2 cuadras del Boulevard Prýncipe deGales, equipado con bancos, restaurantes,supermercados, servicios y ciclovýa recreativa losfines de semana, para que usted y su familiapuedan disfrutar de una vida de barrio, pero conlas comodidades de un buen sector, con buenaconectividad a travýs de Prýncipe de Gales,Alcalde Manuel De La Lastra y Av. FranciscoBilbao, cercana a estaciýn de metro Prýncipe deGales.La casa se encuentra remodelada y modernizada, conpiso de parquet en muy buen estado y vitrificado,ventanas de termopanel, amplio quincho techado,cocina espaciosa con encimeras de silestone,campana, y con salida directa a la terraza. En elprimer piso encontramos living comedor, dormitorioprincipal en suite, cocina, baýo de visitas ypieza de servicios mýs loggia; tambiýn hay unamplio departamento con entrada independiente quetiene 2 habitaciones y baýo completo.En el segundo piso hay 1 baýo completo, 2 ampliosdormitorios, ambos con salida a una amplia terrazacon losa, ideal para ampliaciýn.Jardýn formado con riego elýctrico y espacio paraestacionar 2 autos cýmodamente.Cumpla su sueýo hoy y viste esta propiedad.Contribuciones: 205.000 aprox. trimestrales.DEJE QUE LO GUIE UN AGENTE QUE"
19,"Casa apta para Local Comercial en Metro San…","UF 4.500,00","Fuenzalida Propiedades - Padre Hurtado","Aviso profesional","Regiýn Metropolitana, La Florida","La Florida","+(56) 223836210
","https://www.yapo.cl/pg/0hEjKbihFoHHLxjY2oToU33z8ezH+K8e7Ejran5oOmQ==.gif","13 Agosto 18:16","73768316","FPH3317 Casa  esquina  204/216 mts.,  emplazada enAmýrico Vespucio a pasos Vespucio Sur Express,apta para local comercial, oficina o habitacional,cercana a Metro Santa Julia. Sala de Ventas, showroom, recepciýn, 3 privados 1 baýo, cocina,bodega,  con segundo piso 70 mts.2, portýn amplio,reja de fierro entrada principal. Marina GacitýaTel. +56961201683"
20,"Casa en San Bernardo","$ 115.000.000","Nicole Alvial","Aviso personal","Regiýn Metropolitana, San Bernardo","San Bernardo","+(56) 992479183
","https://www.yapo.cl/pg/07CvWDiTKiPMzm9qipr/pEF8EjfpmUIkd1HSPlRXo4w==.gif","13 Agosto 18:16","72712452","Casa prýcticamente nueva, sin amoblar, ubicada envilla cerrada en San Bdo. En primer piso cuenta con amplio living-comedor,baýo y cocina.En segundo piso, tiene 3 habitaciones, espaciosasy bien iluminadas. Habitaciýn principal amplia. Cuenta con una capacidad de estacionamiento parados vehýculos.Cuenta con servicios býsicos. Ademýs dealcantarillado nuevo.Contacto: +569 924 791 83"
21,"DEPARTAMENTO Departamento en Tercer Piso. V…","$ 54.000.000","Corretajes Prosal Ltda","Aviso profesional","Regiýn Metropolitana, La Florida","La Florida","+(56) 226337160
","https://www.yapo.cl/pg/0kQuysNWaKg2lUiXksZJxI+Xxgxr/ldt62PTR2/9dxw==.gif","13 Agosto 18:16","70903167","- Departamento en Tercer Piso - Reina Luisa 6615 Dp 32 Block 19. La Florida- Villa Los Copihues- Excelente ubicaciýn.- Piso : cerýmica y flýxit- Living - Comedor- Cocina- 3 Dormitorios- 1 Baýo- Logia - Conserjerýa- Aýo de construcciýn 1974 Rol de la Propiedad :480-122- Cercano a : supermercado, colegio, movilizaciýny ýreas verdes- Referencia de direcciýn : Av. Departamental conAv. La Florida- RECIBIMOS SU PROPIEDAD  VEHýCULO EN PARTE DEPAGO- COMISIýN DE CORRETAJE : 2.5% + IVA- Ejecutivos de Ventas:Carola Riquelme cel. +569 9630 4086Javier Valenzuela cel. +569 9738 2871Cynthia Rojas cel. +569 3386 5360"
22,"Vendo casa en Puente Alto","$ 60.000.000","Propiedades Abarca","Aviso profesional","Regiýn Metropolitana, Puente Alto","Puente Alto","+(56) 954237434
","https://www.yapo.cl/pg/0spbNZsDueqlUemVqU0ffoucY2cmluVPxcJGSJJbkEA==.gif","13 Agosto 18:12","73768239","- Propiedad en conjunto Nevados del Maipo, PuenteAlto.- Casa de dos pisos con amplia entrada de auto,cobertizo y ante jardýn.- Amplio living comedor con piso de cerýmico.- Cuenta con 4 dormitorios de buen tamaýo concloset.- 1 baýo con vanitorio y tina, cerýmicos en murosy piso.- Cocina amoblada con instalaciýn para lavadora.- Patio trasero y lateral.- Porton de corredera con cierre de madera.- Sector tranquilo, cercano a colegios,supermercado Tottus, Santa Isabel y Lider, a 10minutos de Estaciýn de Metro Santa Mercedes.- Visitas a travýs de Corredora de PropiedadesFrancisca Abarca, previa coordinaciýn de 2 dýas.- Propiedad con disponibilidad para visitas,financiamiento a travýs de crýdito hipotecario y/oefectivo.- No paga contribuciones.- Sin deuda hipotecaria."
23,"DEPARTAMENTO Avenida Kennedy Las Condes","$ 660.000","Marýa Carolina Zegers","Aviso profesional","Regiýn Metropolitana, Las Condes","Las Condes","+(56) 982011896
","https://www.yapo.cl/pg/04B8nylX2rs/bfBgbxE5gx/xjF5muB0smY7UUL/NATw==.gif","13 Agosto 18:10","73768192","Departamento en arriendo, el cual se estaremodelando, con disponibilidad para el 1 deSeptiembre, con vista despejada, Cercano a MallAlto las Condes y todo Tipo de comercio.- Dormitorio Principal con closet de muro y salidaa terraza.- 2 Dormitorios con closet de muro.- 2 Baýos completos.- Amplio Living-Comedor con salida a terraza.- Cocina amoblada con luz natural.- Amplia Loggia.- Piso 3.- No tiene acsensor.- Estacionamiento.- Bodega.Para mýs informaciýn o visitas, llama al: +56 982011 896 o escrýbenos a: | Venta y Arriendo | Brokers & Partners |"
24,"Estacionamiento - Metro Las Torres","$ 30.000","Mijail Tchernitchin","Aviso profesional","Regiýn Metropolitana, Macul","Macul","+(56) 982196698
","https://www.yapo.cl/pg/0IxyPTtGX7QErhdrH2qdgAoSr7ib1W4GbtCE4A0skCg==.gif","13 Agosto 18:09","73768182","Estacionamiento Metro Las TorresAmerico Vespucio 4601Se arrienda a $30.000.- pero al momento de lafirma de contrato se deja $50.000.- que incluye lacomisiýn."
25,"CASA Terralta - Chamisero Colina","UF 13.500,00","Marcela Fernýndez","Aviso profesional","Regiýn Metropolitana, Colina","Colina","+(56) 995050394
","https://www.yapo.cl/pg/0ovA2yET1rvzx/oU3hpkCu/43wrRTAO4XMCEfzDlZ4A==.gif","13 Agosto 18:09","73768177","Excelente casa estilo mediterrýnea. Ubicada enconsolidado condominio de sector Chamisero, conacceso controlado, seguridad permanente. A pasosde colegio Alianza Francesa, Dunalastair yLincolna, con acceso directo a radial Nororiente,y servicios.PRIMER PISO:- Hall de acceso- Baýo de visita- Living- Comedor- Cocina equipada con isla de comedor de diario- Dormitorio principal en suite con walk in closetSEGUNDO PISO:- Sala de estar- Dos dormitorios- Un baýo completoEXTERIOR:- Terraza techada- Parrilla en obra- Piscina con reja de seguridad- Jardýn formado- Riego automýticoýREA SERVICIO:- Dormitorio y baýo de servicio- Logia techada- Lavadero interiorEQUIPAMIENTO:- Piso de madera en toda la casa- Piso porcelanato en hall de acceso, cocina ybaýos- Ventanas termopanel- Calefacciýn a gas por losa radiante- Cocina y baýos con cubiertas de cuarzo - Estacionamiento para dos autos con adoquinesPara mýs informaciýn o visitas, llama al:+56995050394 o escrýbenos a: | Venta y Arriendo | Brokers & Partners |"
26,"Hacienda el Peýýn, Preciosa Casa 1 piso Condominio","$ 165.000.000","InmobiHogar Corredora de Propiedades","Aviso profesional","Regiýn Metropolitana, Puente Alto","Puente Alto","+(56) 934305536
","https://www.yapo.cl/pg/0PJWUjnxxIxtzoIIAT13gydCiURzHWrOcdIKhSaPyQg==.gif","13 Agosto 18:08","73736791","Se Vende Hermosa Casa Arrayýn Ampliada enCondominio, Hacienda El Peýon, Comuna Puente Alto.Valor $165.000.000*Corredora Exclusiva Caracterýsticas:Orientaciýn: Norte Terreno 295 m2Construýdo original: 94 m2 Ampliaciýn 35 m2 3 dormitorios, principal en suite2 baýos Living comedor Ampliado Gran Sala de Estar Cocina Ampliada, amoblada y equipada con cubiertade granito Piso flotante en toda la casa Loggia Bodega con iluminaciýnTerraza Techada 16 m2 (no estý incluido en eltotal de los m2 construidos)Aire Acondicionado de 9000 BTU en dormitorioprincipal Hermoso patio con Pasto de sintýtico Hermosa iluminaciýn dentro y en patio de la casa Jardin formado en la entrada de la casa con riegoautomýtico Precioso estacionamiento para 2 vehýculos dePiedra Laja.Termo Solar que permite ahorro de gasHacienda El Peýon se encuentra ubicado en sectorLas Vizcachas, Comuna de Puente Alto.En la entrada existe Strip Center por Camino a SanJosý de Maipo el cual cuenta con supermercado,farmacia, restaurantes, peluquerýa, librerýa ytienda de productos para mascotas.Abajo se encuentra Paradero de Transantiago delinea F11, Metrobus y Colectivos .Condominio esta cercano al Pueblito Las Vizcachas,Mampato y Club de Campo Las Vizcachas, a 10minutos del Mall Plaza Tobalaba.Vende Inmobihogar Corredora de Propiedades*Debe considerar pago de comisiýn APROVECHE!!! PUEDE PAGAR CON TARJETAS DE CRýDITOEN CUOTAS (El nýmero de cuotas dependerý delconvenio que tenga con su banco)Agende su visita al +56934305536"
27,"Hacienda el Peýýn, Preciosa Casa en Condominio","$ 199.000.000","InmobiHogar Corredora de Propiedades","Aviso profesional","Regiýn Metropolitana, Puente Alto","Puente Alto","+(56) 934305536
","https://www.yapo.cl/pg/0udM5DrXjDmvc3NwqBuXVpNsAbB6lwCAUUQ/hqmVaeA==.gif","13 Agosto 18:08","73736019","Se Vende Preciosa Casa Lingue en Condominio,Hacienda El Peýon, Comuna Puente Alto.Valor $199.000.000*Corredora Exclusiva Caracterýsticas:Orientaciýn: Norte Terreno 290 m2Construýdo original: 108 m2 Ampliaciýn 25 m2 4 dormitorios, principal en suite con jacuzzi3 baýos Living comedorSala de televisiýnCocina amoblada y equipada con cubierta de granitoComedor de diario Sala de estar (2 piso)Piso flotante en toda la casa Loggia cerrada 2 bodegas en los costados de la casa 1 despensa al costado de la loggia Terraza Techada 29 m2 (no estý incluido en eltotal de los m2 construidos)Entretecho habilitado, totalmente forrado enmadera con ventanas para la ventilaciýn Piscina Aire Acondicionado de 9000 BTU en dormitorioprincipal y sala de estarPasto de sintýtico en patio Hermosa iluminaciýn adentro y patio de la casa Jardin formado en la entrada de la casa con riegoautomýtico Precioso estacionamiento para 2 vehýculos dePiedra Laja.Hacienda El Peýon se encuentra ubicado en sectorLas Vizcachas, Comuna de Puente Alto.En la entrada existe Strip Center por Camino a SanJosý de Maipo el cual cuenta con supermercado,farmacia, restaurantes, peluquerýa, librerýa ytienda de productos para mascotas.Abajo se encuentra Paradero de Transantiago delinea F11, Metrobus y Colectivos .Condominio esta cercano al Pueblito Las Vizcachas,Mampato y Club de Campo Las Vizcachas, a 10minutos del Mall Plaza Tobalaba.Vende Inmobihogar Corredora de Propiedades*Debe considerar pago de comisiýn APROVECHE!!! PUEDE PAGAR CON TARJETAS DE CRýDITOEN CUOTAS (El nýmero de cuotas dependerý delconvenio que tenga con su banco)Agende su visita al +56934305536"
28,"Hacienda El Peýon, Preciosa Casa 4 dormitorios","$ 186.000.000","InmobiHogar Corredora de Propiedades","Aviso profesional","Regiýn Metropolitana, Puente Alto","Puente Alto","+(56) 934305536
","https://www.yapo.cl/pg/09Ooarmer8rdZB43YelpEKFUgBkwU8gAnF4wJ9G6VHA==.gif","13 Agosto 18:08","72889722","Se Vende Hermosa Casa Lingue Ampliada, Hacienda ElPenon, Comuna Puente Alto.No paga gastos comunes.Valor $186.000.000Caracteristicas:Orientacion Norte108 m2 construidos mas (9 m2 ampliacion living + 6m2 ampliacion loggia + 23,5 m2 terraza techadacerrada y quincho) 278 m2 terreno 4 dormitorios, principal en suite2 Banos con cubierta de marmol + bano visitas Sala de EstarLiving Ampliado, ComedorCocina amoblada y equipada con cubierta degranito, espacio para instalar comedor de diario Loggia cerrada ampliadaEstufa empotrada en Comedor Piscina Piso Flotante, alfombra en dormitorios, ceramicaen banos y cocina 2 Estacionamientos de Piedra Laja Sistema de Riego Manual El condominio esta ubicado en sector Hacienda ElPenon, existe Strip Center en la entrada porCamino a San Jose de Maipo el cual cuenta consupermercado, farmacia, restaurantes, peluqueria,libreria y tienda de productos para mascotas.En la entrada de la Hacienda se encuentra Paraderode Transantiago de linea F11, Metrobus yColectivos.Condominio esta cercano al Pueblito Las Vizcachas,Mampato y Club de Campo Las Vizcachas, a 10minutos del Mall Plaza Tobalaba.Vende Inmobihogar Corredora de Propiedades APROVECHE!!! PUEDE PAGAR CON TARJETAS DE CRýDITOEN CUOTAS (El nýmero de cuotas dependerý delconvenio que tenga con su banco)Agende su visita al +56934305536"
